ADDRESSID,CITY,POSTALCODE,STREET,BUILDING,COUNTRY,REGION,ADDRESSTYPE,VALIDITY.STARTDATE,VALIDITY.ENDDATE,LATITUDE,LONGITUDE
1000000063,Montreal,H2Y 1N3,Avenue du Mont-Royal Est,63,CA,AMER,02,2000-01-01,9999-12-31,45.5364941000,-73.571180800000
1000000064,Zürich,2564,Paul-Clairmont-Straße,23,CH,EMEA,02,2000-01-01,9999-12-31,47.3669656000,8.4995679000
1000000065,Dallas Texas,75364,McKinney Ave,2407,US,AMER,02,2000-01-01,9999-12-31,32.785248000,-96.80593200000
1000000066,Paris,75018,Rue de Rivoli,143,FR,EMEA,02,2000-01-01,9999-12-31,48.860395000000,2.34233020000
1000000067,Chicago Illinois,60773,North Michigan Avenue,50,US,AMER,02,2000-01-01,9999-12-31,41.8949329000,-87.62433680
1000000068,Tokyo,1000003,4-2-8- Shibakoen,73,JP,APJ,02,2000-01-01,9999-12-31,35.6706094000,139.752125100
1000000069,Buenos Aires,1511,Villanueva,87,AR,AMER,02,2000-01-01,9999-12-31,-35.6748224000,-58.434144200
1000000070,Johannesburg,2006,Bay View Ave,45,ZA,AFR,02,2000-01-01,9999-12-31,-26.2050000,28.0497222000
1000000071,New York City,10184,Fith Avenue,1843,US,AMER,02,2000-01-01,9999-12-31,40.7305991000,-73.9865812000
1000000072,Bühl,77815,Hauptstraße,12,DE,EMEA,02,2000-01-01,9999-12-31,48.6909149060,8.132659252024
1000000073,Mumbai,400021,Nariman Point,11,IN,APJ,02,2000-01-01,9999-12-31,18.92656180000,72.822832600000
1000000074,Warschau,564,Koszykowa,28,PL,EMEA,02,2000-01-01,9999-12-31,52.2229950000,21.0051176000
1000000075,Cordoba,5003,Av. Ambrosio Olmos,297,AR,AMER,02,2000-01-01,9999-12-31,-31.415463300,-64.184461700
1000000076,Shanghai,610041,Shui Dian,37,CN,APJ,02,2000-01-01,9999-12-31,31.3063170000,121.4717500000
1000000077,Kopenhagen,1907,Stockholmsgade,79,DK,EMEA,02,2000-01-01,9999-12-31,55.6913504000,12.58037710000
1000000078,Karlsruhe,76188,Rubensstraße,140,DE,EMEA,02,2000-01-01,9999-12-31,49.04271800000,8.3807608000
